"","OID","PLT_CN","LAT","LON","TIME_INT","wc2_1_30s_","ai_et0_NAD","SOC0_5_NAD","SOC5_15NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end"
"1",-1,20347303010500,30.057265,-82.166451,7,20.1208,8212,547,171,622,1679,29.6333333333333,9.74333333333333,3.04139582620595,43.5271508723914,0.8212,147,141
"2",-1,374860910490000,30.66734,-84.194805,12,19.2416992,9085,297,135,97,547,18.9,2.47,7.65182186234818,72.1671174089069,0.9085,36,36
"3",-1,259178136011000,30.471115,-85.231998,7,19.3582993,9459,751,142,360,1228,34.5,6.49333333333333,5.31314168377823,57.6392361396304,0.9459,6,381
"4",-1,43854921020000,30.586785,-81.841223,6,20.0792007,8204,680,235,539,1266,38.3333333333333,7.81333333333333,4.9061433447099,55.1109624573379,0.8204,375,1164
"5",-1,43854902020000,29.953301,-83.398123,6,19.9582996,8995,751,176,942,1675,36.7666666666667,11.8633333333333,3.09918516437201,43.886138241079,0.8995,654,795
"6",-1,218218359020000,29.138951,-81.934402,5,20.8957996,7702,585,326,1860,2029,41.2333333333333,19.1633333333333,2.15167855279179,38.0002271699426,0.7702,6,81
"7",-1,289515438490000,29.774428,-82.111351,7,20.2583008,8076,502,147,716,1659,26.5333333333333,10.3033333333333,2.57521837593012,40.6312565512779,0.8076,75,195
"8",-1,374861569490000,29.564131,-82.128549,6,20.4750004,7946,446,141,865,1779,24.2666666666667,11.6966666666667,2.07466514676546,37.521819891707,0.7946,210,444
"9",-1,374861300490000,30.12501,-82.38266,6,19.9666996,8388,415,123,339,1710,22.0333333333333,7.96,2.7680067001675,41.8288576214405,0.8388,723,594
"10",-1,374861151490000,30.857073,-86.444522,5,18.6583004,10076,489,140,176,576,25.6333333333333,3.09333333333333,8.28663793103448,76.1105948275862,1.0076,768,801
