Site,Observed Diameter,Modeled Diameter,Age,Tree Density,Temperature,Temperature2,Aridity,Soil CN
Gholz_1982.1,1.614173228,3.012725894,5,1392,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.2,1.771653543,3.062745306,5,1280,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.3,2.440944882,3.013718855,5,1648,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.4,3.031496063,4.07729733,8,1696,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.5,3.464566929,4.049440127,8,1728,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.6,3.188976378,4.0065481,8,1792,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.7,5.433070866,5.365540606,14,880,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.8,5.787401575,5.371768289,14,1080,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.9,6.417322835,5.376404672,14,1280,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.10,6.417322835,5.901847573,18,1008,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.11,6.377952756,6.104226583,18,1040,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.12,6.57480315,6.017136777,18,784,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.13,7.874015748,6.959639613,26,928,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.14,6.692913386,6.913776942,26,1184,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.15,6.732283465,6.877869668,26,1056,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.16,7.322834646,7.343065457,34,1056,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.17,7.007874016,7.159939188,34,928,20.05,402.0025,0.817595482,38.35026944
Gholz_1982.18,6.456692913,7.40887138,34,976,20.05,402.0025,0.817595482,38.35026944
Roth_2007.1,4.133858268,4.139022606,5,1334,19.983325,399.3332781,0.85345,48.98367129
Roth_2007.2,3.42519685,4.066295954,5,2990,19.983325,399.3332781,0.85345,48.98367129
Jokela_2010,8,8.834317173,25,946,20.76,430.9776,0.8139,35.52533765
Doren_1993,4.133858,2.54051804,200,673,23.83206,567.9670838,0.6962,73.11806272
Sharma_2019,8.6,6.628419555,32,775,19.85,394.0225,0.9452,42.86932848
Ziehm_1992,4.29,4.666665145,7,1165,18.97,359.8609,1.0093,114.7379758
Bohn_2016,7.08661,10.19859866,30,1180,20.04,401.6016,0.9298,45.49153613
Hedman_1999,7.874,8.66636535,49,529,19.1,364.81,0.8762,82.98496659
