"","Observed_Diameter","Modeled_Diameter","Age","Tree_Density","Temperature","CN*aridity","Aridity","Soil_CN","Observed_Biomass","Modeled_Biomass","sd.tasb","sd.dbh"
"8",11.1029674771699,10.5493860568798,58,374,19.7886142730713,37.902341411336,0.8414,45.0467570850202,7178.1463434534,5407.77310782585,353.161608716666,0.228422579789323
"22",7.75094106257504,8.96959196567278,71,897,19.8433742523193,43.3253048116279,0.8483,51.0730930232558,10475.8773779098,15031.6964894892,540.441814942916,0.186846383874651
"45",8.26787735719371,10.3226977434643,53,738,21.1098327636719,33.6851359550098,0.8271,40.7267996070727,8014.15644996243,10129.7722912362,279.42816981274,0.097412743143736
"61",8.46099907570994,8.76394319697784,49,696,20.8553123474121,31.5618967307692,0.7825,40.3346923076923,8479.96115865679,10172.6460680283,254.911204933196,0.122838382923666
"69",15.5158490087237,12.4524516282237,97,144,20.7464904785156,37.7712917153846,0.7478,50.5098846153846,6537.02092696978,3760.15240007265,363.153053565421,0.468418709795563
"70",10.3509223850539,10.9293608169636,68,386,20.1147193908691,40.3589599077348,0.8349,48.3398729281768,6653.41084672636,6545.30985696394,341.067972626955,0.193034230794997
"126",8.12458421782299,8.2728594751563,111,1144,19.5386142730713,40.6582083573171,0.9697,41.9286463414634,13135.3494014307,17421.4879664083,452.929192350665,0.116156808540423
"136",7.01819290467706,8.08368799462786,66,1054,19.6721343994141,50.0469361769428,0.9556,52.3722647309991,8616.69636994028,13304.4770158704,234.831249973597,0.0956548825114625
"155",9.35814234385569,8.47968043080511,72,647,19.0401248931885,66.7846533859748,1.0042,66.5053309957924,8603.13815099869,9319.92240342561,374.139280865254,0.164682880687489
"163",7.59813051659632,10.7811291836364,73,852,18.7860832214355,73.8464055622449,1.0303,71.6746632653061,7729.9536831846,13038.4772511357,369.522592138133,0.0940614294849687
"462",10.3249164707781,8.36279078165427,57,525,20.6813659667969,41.2245907541985,0.8704,47.3628110687023,8486.83126557536,6964.02429720445,298.34224938036,0.252110549166731
"554",12.940036384677,12.4921062919974,78,394,22.5436210632324,32.1462907000582,0.7105,45.2446033779849,11566.2901804498,10097.283399865,509.34605591133,0.229934429958002
"637",9.5169201310432,10.7586535546268,67,792,19.1948223114014,78.6120112084034,1.0236,76.7995420168067,11825.4762202437,12319.1049854359,305.192930625379,0.0551057319765617
"673",9.65308893202963,10.6041109826567,39,674,22.0525932312012,27.1823833147177,0.7123,38.1614254032258,9211.08392914314,9917.74407838947,392.487664845605,0.0874927858511774
"711",7.85452867488342,10.0350167730218,39,648,22.5283336639404,40.0864354805999,0.7393,54.222149980522,5809.9630103862,8190.5858096444,230.383339095742,0.10009318013305
"731",6.15,6.82027375912534,19,297,18.9775009155273,62.3500599071856,0.873,71.4204580838323,1268.0943962612,1294.47902430173,25.0131475803183,0.0312000873924485
"747",6.20625,7.3749723216715,24,238,19.3000946044922,59.1382060379947,0.9203,64.2597044854881,1061.89103034697,1239.77692051541,30.6798590569732,0.0344959282128661
"749",5.61379149543752,8.17480460740256,35,787,19.5218124389648,46.9279986307692,0.9554,49.1186923076923,3081.73540718782,5293.91133281399,114.409361311382,0.0544998442530361
"752",7.83846153846154,10.2292737237794,56,386,18.9113445281982,77.2519685084691,1.0169,75.9681074918567,3348.01043305697,5116.16297886022,203.33480414535,0.139700985130843
"765",5.72380952380952,6.33246814223139,18,312,20.5450420379639,34.1570732694142,0.8733,39.1126454476287,1108.896768244,1121.00533223726,24.5977157536273,0.0213885024541672
