,Observed_Diameter,Modeled_Diameter,Age,Tree_Density,Temperature,CN*aridity,Aridity,Soil_CN,Observed_Biomass,Modeled_Biomass,sd.tasb,sd.dbh,LAT,LON
170,6.969629248,5.772407645,26,1776,20.50166702,31.39522712,0.7815,40.17303535,10250.93591,7617.435974,178.9256474,0.064424082,29.72,-81.78
196,3.969980062,4.605088493,15,7553,19.64735413,44.58706156,0.8779,50.7883148,10164.82786,18575.41655,155.3061464,0.024175956,30.28,-83.53
476,2.602535085,4.164136144,11,6971,23.20033264,47.32159828,0.7307,64.76200668,3479.328751,12157.40969,87.29235422,0.019673019,26.39,-81.44
669,3.340665478,3.526443308,8,4496,20.12836456,34.77112131,0.9017,38.56174039,3917.064984,4680.055951,35.51043543,0.018555851,29.67,-83.19
771,5.189073824,4.409899902,13,3770,20.71843719,37.60479098,0.8687,43.28858177,9272.692775,7948.466118,76.4043729,0.026626489,29.33,-82.67
1027,7.156448402,7.925139429,32,1921,19.69099045,43.80026937,0.9542,45.90260886,11256.8952,8453.900637,200.4057006,0.03932268,30.31,-84.22
1070,4.042422669,4.806190204,14,5202,21.65648651,38.04591044,0.7581,50.18587316,8227.390313,14150.79512,171.3304218,0.036746566,28.78,-80.92
1766,5.970227028,7.813016202,30,3056,19.83675957,49.11122621,0.9528,51.54410811,11289.69013,12944.4607,166.5609069,0.03816622,29.86,-85
1848,3.824985645,4.903960822,22,2977,19.52181244,54.39830336,0.9528,57.09309756,4099.40749,9550.889005,134.6511012,0.040918621,30.31,-84.86
1869,7.562116859,8.126040508,46,1540,18.99091721,90.23395079,1.0204,88.42997921,11524.13667,7289.793475,236.0380572,0.082652801,30.78,-86.81
1984,4.965486474,5.456920049,22,2606,22.71096802,37.51941733,0.7046,53.24924401,6527.520417,11330.69195,265.7774072,0.073610963,27.034163,-81.830063
2022,3.72177256,5.143471837,23,3194,23.22193336,37.52366234,0.7794,48.14429348,4372.431748,11784.00754,76.55538955,0.025143565,27.022472,-80.193783
2243,4.46176005,4.098651288,10,3886,19.60844803,39.60191123,0.8265,47.9151981,6650.426755,6331.0802,43.99541914,0.024237202,30.613941,-83.002767
2309,10.80479756,8.998650508,43,752,20.81846809,29.54447866,0.7817,37.79516267,13223.44382,5557.172053,258.8406125,0.126864323,29.33,-82
2328,3.06,3.220370496,6,4449,19.76316643,41.70420033,0.8208,50.80921093,2927.359566,3469.332163,18.23001584,0.013669802,30.692964,-82.006834
2642,4.761449811,4.325722036,14,2905,18.95273972,85.85235832,0.9133,94.00236321,5664.08835,5910.038286,87.74445135,0.034193211,30.976757,-85.91622
2711,6.889194177,5.073967218,41,2186,19.07966614,69.53589076,1.0544,65.94830307,12027.30151,9116.067833,334.6492246,0.090560775,30.833152,-87.164974
2801,14.37222896,9.488168245,68,491,22.33102036,39.10190362,0.7012,55.76426644,18798.3908,4557.38438,300.5172995,0.245026812,27.72,-81.33
3105,6.1344958,5.362579252,20,1571,21.7558651,31.5976116,0.7661,41.24476125,6161.051328,6248.396719,114.5932648,0.073060303,28.413937,-82.461374
3614,7.422727273,8.135757377,38,327,24.32198906,61.25892473,0.7269,84.27421203,2145.063929,1577.842362,83.61484096,0.163665386,25.407655,-80.697138
