observed.d_in,modeled.d_in,Age,tree density_Ha,Temp,aridity,CN
0.94488,2.178723338,2,1334,19.983325,0.85345,51.80371
1.023622047,2.186527641,2,2990,19.983325,0.85345,51.80371
2.165354331,3.085664023,3,1334,19.983325,0.85345,51.80371
2.007874016,3.082524067,3,2990,19.983325,0.85345,51.80371
4.133858268,4.72011417,5,1334,19.983325,0.85345,51.80371
3.42519685,4.659510641,5,2990,19.983325,0.85345,51.80371
1.614173228,2.812970878,5,1392,20.05,0.8175955,40.86816
1.771653543,2.82699324,5,1280,20.05,0.8175955,40.86816
2.440944882,2.835246118,5,1648,20.05,0.8175955,40.86816
3.031496063,3.905125981,8,1696,20.05,0.8175955,40.86816
3.464566929,3.997907119,8,1728,20.05,0.8175955,40.86816
3.188976378,4.038357164,8,1792,20.05,0.8175955,40.86816
5.433070866,5.854492114,14,880,20.05,0.8175955,40.86816
5.787401575,5.721972989,14,1080,20.05,0.8175955,40.86816
6.417322835,5.746080582,14,1280,20.05,0.8175955,40.86816
6.417322835,6.549346715,18,1008,20.05,0.8175955,40.86816
6.377952756,6.569408137,18,1040,20.05,0.8175955,40.86816
6.57480315,6.554222866,18,784,20.05,0.8175955,40.86816
7.874015748,7.981183838,26,928,20.05,0.8175955,40.86816
6.692913386,7.744170232,26,1184,20.05,0.8175955,40.86816
6.732283465,7.927427906,26,1056,20.05,0.8175955,40.86816
7.322834646,8.559099733,34,1056,20.05,0.8175955,40.86816
7.007874016,8.41793643,34,928,20.05,0.8175955,40.86816
6.456692913,8.361363869,34,976,20.05,0.8175955,40.86816
8,7.173017,25,946,20.76,0.8139,33.46934
4.133858,5.966233,200,673,23.83206,0.6962,61.42652
