"","Tree Density","Maximum DBH","Average DBH","Observed Biomass"
"1",379.47640484,8.9,7.2434977538721,254.483096284367
"2",35.55461507,6.9,6.9,19.3534885329366
"3",0,-Inf,NA,0
"4",0,-Inf,NA,0
"5",61.34913876,13.1,11.6795454838264,140.333843429571
"6",47.40615178,10.6,8.36764707905173,46.3164788842252
"7",47.40615178,6,6,18.1428074055948
"8",0,-Inf,NA,0
"9",87.84081254,6.7,6.18571428932959,36.7151807320181
"10",591.99728952,4.2,3.625,64.761492407147
"11",591.99728952,2.2,1.925,11.9009672321998
"12",1479.9932238,4.5,3.31,136.377728600597
"13",295.99864476,2.5,2.3,9.48680234562432
"14",348.89706137,16.4,9.86356164780787,609.47148087537
"15",297.2914724,11.1,9.05,358.505448156616
"16",793.32591754,7.2,3.6165650628896,126.913552540513
"17",252.69775154,17.5,8.59411764705882,357.394051763744
"18",312.15604602,11.1,7.41904761904762,227.810384576983
"19",44.59372086,13.4,11.8666666666667,105.126587209388
"20",185.16424654,1.6,1.6,2.20498406798501
