observed.d_in,modeled.d_in,Age,tree density_Ha,CN,Temp,SM
0.94488,1.934535,2,1334,51.80371,19.98,284.47
1.023622047,1.947491,2,2990,51.80371,19.98,284.47
2.165354331,2.535502,3,1334,51.80371,19.98,284.47
2.007874016,2.501713,3,2990,51.80371,19.98,284.47
4.133858268,3.146262,5,1334,51.80371,19.98,284.47
3.42519685,3.197052,5,2990,51.80371,19.98,284.47
1.614173228,3.279444164,5,1392,40.86816,20.05,266.82
1.771653543,3.248675785,5,1280,40.86816,20.05,266.82
2.440944882,3.237503994,5,1648,40.86816,20.05,266.82
3.031496063,3.858141253,8,1696,40.86816,20.05,266.82
3.464566929,3.83911308,8,1728,40.86816,20.05,266.82
3.188976378,3.884581398,8,1792,40.86816,20.05,266.82
5.433070866,4.491437513,14,880,40.86816,20.05,266.82
5.787401575,4.408140767,14,1080,40.86816,20.05,266.82
6.417322835,4.480829825,14,1280,40.86816,20.05,266.82
6.417322835,4.687532428,18,1008,40.86816,20.05,266.82
6.377952756,4.668993706,18,1040,40.86816,20.05,266.82
6.57480315,4.688041984,18,784,40.86816,20.05,266.82
7.874015748,4.897053594,26,928,40.86816,20.05,266.82
6.692913386,5.012216319,26,1184,40.86816,20.05,266.82
6.732283465,4.891928917,26,1056,40.86816,20.05,266.82
7.322834646,5.10298207,34,1056,40.86816,20.05,266.82
7.007874016,5.029369722,34,928,40.86816,20.05,266.82
6.456692913,4.938926123,34,976,40.86816,20.05,266.82
8,4.853469,25,946,33.46934,20.76,267.05
